phrase,language,literal_translation,actual_meaning,cultural_translation
At arm’s length,en,हाताच्या अंतरावर,"keeping a safe distance from someone or something, either physically or emotionally; avoiding close contact or involvement",दूर ठेवणे / अंतर ठेवणे
Out of the question,en,प्रश्नच उद्भवत नाही,"impossible, not allowed, or not worth considering",असंभव / विचारण्यासारखे नाही
Out of the way,en,वाटेतून बाजूला,"Completed or dealt with (a task, problem, or obstacle)",समस्या मिटली
Break the ice,en,शांतता भंग करा,do or say something to relieve tension or get conversation going in a strained situation or when strangers meet.,संवादाची सुरुवात करणे
Piece of cake,en,अतिशय सोपे,Something that is very easy to do,अगदी सोपं काम / डाव्या हाताचं काम
Once in a blue moon,en,कधीतरी एकदा,Something that happens very rarely,फार क्वचित / कधी तरीच
Under the weather,en,अस्वस्थ,To feel ill or unwell,तब्येत ठीक नसणे / आजारी वाटणे
Spill the beans,en,रहस्य उघड करा,"To reveal a secret, often accidentally",गुपित उघड करणे / सगळं सांगून टाकणे
Hit the sack,en,झोपायला जा,To go to bed or go to sleep,झोपायला जाणे / झोप घ्यायला जाणे
Cost an arm and a leg,en,खूप महाग,Something that is extremely expensive,प्रचंड महाग असणे / फार खर्चिक असणे
On cloud nine,en,नवव्या ढगावर,To be extremely happy,अत्यंत आनंदी असणे / आनंदाच्या शिखरावर असणे
In hot water,en,संकटात,To be in trouble or facing serious difficulty,अडचणीत असणे / संकटात सापडणे
At the drop of a hat,en,टोपीच्या थेंबावर,Immediately; without any warning or delay,क्षणात / लगेचच / क्षणाचाही विलंब न करता
In a tight corner,en,एका कठीण परिस्थितीत,To be in a difficult or troublesome situation,कठीण परिस्थितीत असणे / अडचणीत सापडणे
Better late than never,en,कधीही नाही करण्यापेक्षा उशिरा केलेले बरे,It is better to do something late than not do it at all,"उशीर झाला तरी चालेल, पण न केलेल्यापेक्षा केलेलं बरं"
The ball is in your court,en,आता चेंडू तुमच्या कोर्टात आहे.,It is now your responsibility to take action or make a decision,आता निर्णय तुझ्या हातात आहे / पुढची चाल तुझी आहे
Let the cat out of the bag,en,गुपित उघड करा,"To reveal a secret, often accidentally",गुपित उघड होणे / चुकून रहस्य बाहेर पडणे
Bite the bullet,en,कठीण परिस्थितीला सामोरे जा,To face a painful or difficult situation bravely,कठीण गोष्ट धैर्याने स्वीकारणे / त्रास सहन करून करणे
Cut corners,en,कोपर कापून टाका,"To do something in the easiest, quickest, or cheapest way—often by reducing quality or skipping important steps",शॉर्टकट घेणे / कामात तडजोड करणे
Back to square one,en,पुन्हा पहिल्या पायरीवर,To return to the starting point after a failure or setback,पुन्हा सुरुवातीपासून / सगळं नव्याने सुरू करणे
In the long run,en,दीर्घकाळात,Over a long period of time; eventually,दीर्घकाळात / शेवटी पाहता
On the same page,en,एकाच पानावर,To agree or have the same understanding about something,एकमत असणे / एकाच विचारावर असणे
Ahead of time,en,वेळेच्या आधी,Before the expected or scheduled time,वेळेआधी / ठरलेल्या वेळेच्या आधी
Pull one’s weight,en,आपला वाटा उचलणे,To do your fair share of work in a group,आपला वाटा नीट पार पाडणे / जबाबदारी प्रामाणिकपणे निभावणे
Go the extra mile,en,अतिरिक्त प्रयत्न करा,To make extra effort beyond what is required,अपेक्षेपेक्षा जास्त प्रयत्न करणे / जास्त मेहनत घेणे
Get the ball rolling,en,प्रक्रिया सुरू करा,"To start an activity, process, or project",सुरुवात करणे / कामाला चालना देणे
By the book,en,पुस्तकानुसार,To do something strictly according to the rules or procedure,नियमाप्रमाणे / योग्य पद्धतीने
In hot water,en,संकटात,To be in trouble or facing serious difficulty,अडचणीत असणे / संकटात सापडणे
See eye to eye,en,सहमत असणे,To agree fully or have the same opinion as someone,एकमत असणे / सहमतीत असणे
Turn a blind eye,en,दुर्लक्ष करा,To ignore something intentionally or pretend not to notice,डोळे मिटून दुर्लक्ष करणे / अनाकलनीयपणे दुर्लक्ष करणे
Give someone the cold shoulder,en,एखाद्याला दुर्लक्ष करणे,To intentionally ignore or be unfriendly to someone,कुणाला दुर्लक्ष करणे / उपेक्षा करणे
Face the music,en,परिणामांना सामोरे जा,"To accept the consequences of your actions, especially unpleasant ones",परिणामांना सामोरे जाणे / चुका स्वीकारणे
On thin ice,en,पातळ बर्फावर,"To be in a risky or dangerous situation, often one that could get you into trouble",धोकादायक परिस्थितीत असणे / सावध राहावे लागणारी परिस्थिती
Wear one’s heart on one’s sleeve,en,आपल्या भावना उघडपणे व्यक्त करणे,To openly show your emotions instead of hiding them,आपली भावना स्पष्टपणे व्यक्त करणे / मन उघडपणे दाखवणे
Jump to conclusions,en,निष्कर्ष काढायला घाई करणे,"To decide something too quickly, without having all the facts",निष्कर्ष लगेच काढणे / आधी विचार न करता निर्णय घेणे
Hold one’s tongue,en,जीभ आवरणे,"To remain silent and avoid saying something, especially to prevent trouble",बोलण्यावर नियंत्रण ठेवणे / शांत राहणे
Lose one’s temper,en,राग येणे,To become angry suddenly or lose control of one’s emotions,रागावणे / संयम गमावणे
Keep an eye on,en,लक्ष ठेवा,To watch something or someone carefully,लक्ष ठेवणे / पाहणे
In a nutshell,en,थोडक्यात,To describe something briefly and clearly,थोडक्यात / संक्षेपात
The tip of the iceberg,en,हिमनगाचे टोक,"A small, visible part of a much larger problem or situation",केवळ लहानसा भाग दिसणे / मोठ्या समस्येचा केवळ लहानसा भाग
At the drop of a hat,en,टोपीच्या थेंबावर,Immediately; without any warning or delay,लगेचच / क्षणात / क्षणाचाही विलंब न करता
Hit the ground running,en,सुरुवात करताच वेगाने काम करणे,To start a task or project energetically and successfully from the beginning,त्वरित प्रभावीपणे सुरुवात करणे / लगेच कामात गुंतणे
Go down in flames,en,आगीच्या ज्वाळांमध्ये नष्ट होणे,To fail spectacularly or disastrously,मोठ्या अपयशाने अयशस्वी होणे / पराभूत होणे
Throw in the towel,en,हार पत्करा,To give up or admit defeat,हार मानणे / प्रयत्न थांबवणे
Bend over backwards,en,अतोनात प्रयत्न करणे,To try very hard to help or please someone,जास्तीत जास्त प्रयत्न करणे / खूप मेहनत घेणे
Fish out of water,en,पाण्याबाहेरचा मासा,To feel uncomfortable or out of place in a particular situation,अजीब किंवा अस्वस्थ परिस्थितीत असणे / अनुकूल नसलेल्या ठिकाणी असणे
A blessing in disguise,en,वेषातील वरदान,Something that seems bad at first but turns out to be good,संकटातून फायदा होणे / सुरुवातीला वाईट दिसणारे पण शेवटी चांगले ठरणे
Beat around the bush,en,मूळ मुद्द्याला बगल देणे,To avoid talking about the main topic or issue,मुद्दा टाळणे / थेट गोष्ट न सांगता गोलमटोल बोलणे
Break a leg,en,शुभेच्छा,"A way to wish someone good luck, especially before a performance or exam",शुभेच्छा! / चांगलं कर!
Burn bridges,en,पूल जाळून टाका,To destroy relationships or opportunities so that you cannot return to them,नातेसंबंध तोडून टाकणे / परत येण्याचा मार्ग बंद करणे
Cry over spilled milk,en,सांडलेल्या दुधावर रडणे,To be upset about something that has already happened and cannot be changed,झालेल्या गोष्टीवर व्यर्थ पश्चात्ताप करणे
Every cloud has a silver lining,en,प्रत्येक संकटात काहीतरी चांगले दडलेले असते.,Every difficult or bad situation has some positive aspect,प्रत्येक वाईट गोष्टीत काहीतरी चांगलं असतं
Hit the books,en,अभ्यास करा,"To study hard, especially for an exam or test",अभ्यासाला लागणे / जोरात अभ्यास करणे
It takes two to tango,en,टांगो नाचायला दोघांची गरज असते.,Both people involved in a situation are responsible for it,भांडणात दोघांचीही चूक असते / दोन बाजू जबाबदार असतात
Leave no stone unturned,en,कोणतीही कसर सोडू नका,To try every possible method to achieve something or find something,कोणतीही कसर न ठेवणे / सर्वतोपरी प्रयत्न करणे
Not playing with a full deck,en,पूर्ण क्षमतेने खेळत नाही,"Used to say that someone is behaving in a foolish, strange, or irrational way",थोडा वेडा वाटणे / नीट शहाणा नसल्यासारखा वागणे
Off the hook,en,संकटातून सुटका,"To be freed from blame, responsibility, or trouble",जबाबदारीतून सुटणे / संकटातून मुक्त होणे
Pull the plug,en,प्लग बाहेर काढा,"To stop or end an activity, project, or system, often suddenly",थांबवणे / बंद करणे / शेवट करणे
Actions speak louder than words,en,शब्दांपेक्षा कृती अधिक बोलतात.,What you do matters more than what you say,बोलण्यापेक्षा कृती महत्त्वाची
Add fuel to the fire,en,आगीत तेल ओतणे,Make a bad situation worse,आगीत तेल ओतणे
Against the clock,en,वेळेच्या विरोधात,Rushing to finish before a deadline,वेळेच्या दबावाखाली
All ears,en,पूर्ण लक्ष देऊन ऐकणे,Listening very carefully,पूर्ण लक्ष देऊन ऐकणे
At sixes and sevens,en,षटकार आणि सात धावांवर,In a state of confusion or disorder,गोंधळलेली अवस्था
Blow off steam,en,ताण कमी करा,Release stress or anger,ताण कमी करणे / मन मोकळं करणे
By hook or by crook,en,कसेही करून,"By any means, fair or unfair",कसेही करून
Call it a day,en,आजचे काम थांबवा,Stop working for the day,आजसाठी काम थांबवणे
Cut to the chase,en,मुद्द्यावर या,Get to the main point quickly,थेट मुद्द्यावर येणे
Get cold feet,en,थंड पडणे,Lose confidence before doing something important,शेवटच्या क्षणी घाबरणे
Go with the flow,en,प्रवाहाबरोबर जा,Adapt to situations instead of resisting them,परिस्थितीनुसार वागणे
आपल्याच पोळीवर तूप ओढणे,mr,To butter one's own bread,फक्त स्वतःचाच फायदा साधून घेणे,Being selfish or only thinking about oneself.
आकारे रंगती चेष्टा,mr,Make fun of shapes and colors,बाह्म लक्षणांवरून अंतगथत वागणुकीचे चचत्र स्पष्ट होते.,One’s outward appearance or gestures often reveal their true nature.
आपली पाठ आपणास ददसत नाही,mr,You cannot see your own back.,स्वतःचे दोष स्वतःला ददसत नाही.,One cannot see or admit one’s own faults.
अर्ीदान महापुण्य,mr,Aridan Mahapunya,दान नेहमी सत्पात्री करावे.,Charity is most virtuous when given to a deserving person.
आगीतून उठून फुफाट्यात पडणे,mr,To jump out of the fire and into the frying pan.,एका संकटातून चनघून दुसऱ्या संकटात सापडणे.,Getting out of one problem and immediately falling into another.
अळी चमळी गुप चचळी,mr,"Worm, caterpillar, silently and secretly",आपले रहस्य गुचपत ठेवण्यासाठी दुसऱ्याला चप करणे.,Using someone else to cover up your own secrets.
आचलया भोगासी असावे सादर,mr,One should be prepared to face the consequences.,तक्रार न करता आलेली पररचस्र्ती स्वीकारणे.,One should accept difficulties or misfortunes gracefully without complaint.
आधीच उल्हास त्यात फाल्गुन मास,mr,"Already there was joy, and then came the month of Phalgun.",मुळातच आळशी व्यक्तीस अजून अनुकूल पररचस्र्ती चनमाथण करणे.,Adding more trouble or temptation to an already lazy or careless person.
उचलली जीभ लावली टाळूला,mr,He spoke without thinking.,चवचार न करता बोलणे,Speaking without thinking or caution.
आपण हसे लोकाला शेंबूड आपल्या नाकाला,mr,"We laugh at others, but we have snot on our own nose.",दुसऱ्याला आपण ज्या दोषाबद्दल हसतो तोच दोष नेमका आपल्याजवळ असणे.,We laugh at others’ faults while having the same fault ourselves.
आजा मेला नातू झाला,mr,My grandfather has become a grandfather.,एखादे नुकसान झाले असता त्याच वेळी दुसरी फायद्याची गोष्ट होणे.,"When one loss occurs, another gain happens at the same time."
आंधळा मागतो एक डोळा देव देतो दोन,mr,"The blind man asks for one eye, and God gives him two.",अपेक्षा केली त्यापेक्षा जास्त चमळणे,Receiving more than what was asked for.
असतील शिते तर जमतील भुते,mr,"Where there is food, there will be ghosts.",पैस्यामुळेच चार व्यक्ती आपल्या भोवती असतात.,Money attracts people.
अचाट खाणे मसनात जाणे,mr,Excessive eating leads to the grave.,खाण्याचपण्यात अचतरेक घातक ठरतो.,Overeating can lead to serious health problems.
अग अग म्हशी मला कोठे नेशी,mr,"Hey, hey buffalo, where are you taking me?",आपली चूक दुसऱ्याच्या मार्ी मारणे.,Blaming someone else for your own mistake.
अन्नसत्री जेवून चमरपूड मागणे,mr,Eating at a free food kitchen and then asking for alms.,अगोदरच एखादे काम फुकट करून वर चमजास खोरी करणे.,Asking for extra benefits even after getting something for free.
अडली गाय फटके खाय,mr,A trapped cow gets beaten.,अडचणीत सापडनाऱ्याला आणखीच हैराण करणे.,Troubling or hurting someone even more when they are already in difficulty.
आपला हात जगन्नार्,mr,Your hand is Jagannath,आपली उन्नती आपल्या कातुथत्वावरच अवलंबून असते.,One’s success or progress depends on one’s own efforts.
आधीच तारे त्यात चशरले वारे,mr,"The stars were already there, and then the winds started blowing.",आधीच मकथट आचण त्यात त्याने मद्यपान करणे.,"Already in a bad condition, and then making it worse by one’s own actions."
मनी नाही भाव देवा मला पाव,mr,"There is no devotion in my heart, yet God, please bless me.",कमथ न करता फळ मागणे.,Asking for rewards without putting in any effort.
देव देवळात चीत खेटरात,mr,"God is in the temple, but also in the rags.",एका कामास जाणे पण दुसरेच काम करणे.,Going for one purpose but doing something else instead.
कधी गाडीवर नाव तर कधी नावेवर गाडी,mr,"Sometimes the name is on the car, sometimes the car is on the name.",सवाांचेच ददवस येतात समान चस्र्ती कधीच राहत नाही.,"Sometimes one is on top, sometimes one is not — life is never the same all the time."
कुठे जाशी भोगा तो तर तुझ्यापुढे उभा,mr,"Wherever you go, you will face the consequences; it stands right before you.",नको असलेली संकट समोर येणे.,"No matter where you go, the trouble you want to avoid comes right in front of you."
कावळा बसायशी आचण फांदी तुटायशी,mr,"The crow was about to sit down, and the branch was about to break.",परस्पर संबंध नसतांना योगायोगाने दोन गोष्टी एकाच वेळी घडणे.,Two unrelated events happening at the same time by coincidence.
कडी चोर तो माडी चोर,mr,Kadi chor to madi chor,शुल्लक अपराधाचा घडलेल्या मोठ्या अपराधाशी संबंध जोडणे.,Linking a small crime to a bigger crime (judging someone as a big criminal because of a minor offence).
काळ आला होता पण वेळ आली नव्हती,mr,"The time had come, but the moment had not.",नाश होण्याची वेळ आली होती पण र्ोडक्यात बचावणे.,"The danger had come, but escape was still possible (a narrow escape from disaster)."
उंदराला मांजर साक्षी,mr,The cat is a witness to the mouse.,सारख्याच लायकीच्या माणसाने एकमेकांचे समर्थन करणे.,People of the same (wrong) kind supporting each other.
काडीची सत्ता आचण लाखाची मत्ता बरोबर होत नाही,mr,A tiny bit of power is not equal to wealth worth millions.,संपत्तीपेक्षा सत्ता महत्वाची ठरते. करंगळी सुजली म्हणून डोंगराएवढी होईल काय मुळातच लहान वस्तू दकतीही प्रयत्न केले तरी मयाथदेपेक्षा वाढत नाही.,"Power is considered more important than wealth, and a small thing can never become great no matter how much effort is made."
काप गेले पण भोके राचहली,mr,"The wounds have healed, but the scars remain.",वैभव गेले पण खणा मात्र राचहल्या,"The wealth is gone, but the show and pride still remain."
करीन ती पूवथ,mr,I will do whatever it takes.,मी करीन तेच योग्य असे वागणे.,Acting as if only what I do is right.
उडत्या पाखराची चपसे मोजणे,mr,Counting the feathers of a flying bird,अगदी सहज चालता चालता एखाद्या अवघड गोष्टीची परीक्षा करणे.,Attempting a difficult task while it seems easy or casual.
एका माळेचे मणी,mr,Beads of the same string,सगळेच सारखे,All are the same / all are of the same kind.
उठता लार् बसता बुक्की,mr,You get up and sit down,एकसारखा नेहमी मार देणे.,Being beaten or troubled all the time (continuous harassment).
एकाची जळते दांडी दुसरा त्यावर पेटवू पाहतो चवडी,mr,"One person's stick is burning, and the other tries to light his own from it.",दुसऱ्याचा अडचणीतही स्वतःचा फायदा पाहणे.,Trying to take advantage of someone else’s trouble for one’s own benefit.
एक ना धड भाराभर चचंध्या,mr,One or the other body is full of chachandhya,सगळेच अपूणथ,Nothing is done properly — everything is incomplete or messy.
एका म्यानात दोन तलवारी राहत नाही,mr,Two swords cannot fit in one scabbard.,दोन तेजस्वी माणसे एकत्र गुण्यागोचवंदाने नांदू शकत नाही.,Two strong or dominant people cannot work or live peacefully together.
उस गोड लागला म्हणून मुळासकट खाऊ नये,mr,"Just because sugarcane tastes sweet, you shouldn't eat it along with the roots.",कोणत्याही गोष्टीचा गैरफायदा घेऊ नये.,Do not take unfair or excessive advantage of something just because it is good.
आडात नाही तर पोहऱ्यात कोठून येणार?,mr,"If there is nothing in the well, where will it come from in the bucket?",जे मुळातच नाही त्याची र्ोडी देखील अपेक्षा करणे व्यर्थच.,"If something does not exist at the source, you cannot expect it anywhere else."
गरजवंताला अक्कल नसते,mr,A needy person lacks wisdom.,गरजेपोटी दुसऱ्याचे चनमाटपणे सहन करणे.,A needy person is forced to tolerate insults or unfair treatment.
गाढवाने शेत खाल्ले ना पाप ना पुण्य,mr,The donkey ate the crop; neither sin nor merit.,अयोग्य व्यक्तीला एखादी गोष्ट ददल्याने ती वायाच जाते.,Giving something valuable to an unworthy person is a complete waste.
कोळसा जितका उगाळावा तितका काळाच,mr,"The more you rub coal, the blacker it gets.",वाईट गोष्टीचा दकती उहापोह केला तरी ती वाईटच,"No matter how much you try to justify something bad, it remains bad."
कोरडया बरोबर ओले जळते,mr,The wet burns along with the dry.,चनष्कारण चनरपराध्याची अपराध्यासोबत गणना करणे.,An innocent person gets punished along with the guilty.
माकडाच्या हातात कोलीत,mr,A torch in a monkey's hand,चवध्वंसतोशी माणसाच्या हातात कारभार सोपचवणे.,Giving responsibility or power to a foolish or destructive person.
गाड्याबरोबर नळ्याची यात्रा,mr,The pipe's journey with the cart,मोठ्यांच्या आश्रयाने लहानांचा देखील फायदा होतो.,Small or less important people also benefit by being associated with powerful or important ones.
गरज सरो वैद्य मरो,mr,Ask the need doctor die,आपले काम झाले की उपकारकत्याथची पवाथ न करणे.,"Once the need is over, people forget the one who helped them."
खाऊन माजावे टाकून माजू नये,mr,"One should be extravagant with food by eating it, not by wasting it.","पैशाचा , संपत्तीचा गैरवापर करू नये.","One should be proud of what one earns or deserves, not of what is given or thrown to them."
खाणे जाणे तो पचवू जाणे,mr,He who knows how to eat also knows how to digest.,एखादे कृत्य धाडसाने करणारा त्याचे पररणाम भोगण्यास समर्थ असणे.,"If you dare to do something, you must also be ready to face its consequences."
गाढवापुढे वाचली गीता कालचा गोंधळ बरा होता,mr,Reading the Gita to a donkey; yesterday's chaos was better.,मुखाथला दकतीही उपदेश केला तरी तो व्यर्थच ठरतो.,Giving advice to a foolish person is completely useless.
कुंभारणीच्या घरातला दकडा कुंभारणीचा,mr,The stone in the potter woman's house belongs to the potter woman.,आपल्या ताब्यातील वस्तूवर आपलाच हक्क दाखचवणे.,Claiming ownership over something simply because it is in one’s possession.
काट्याचा नायटा करणे,mr,Making a mountain out of a molehill,राईचा पवथत करणे.,To make a big issue out of a very small matter (to exaggerate a problem).
खऱ्याला मरण नाही,mr,The truth never dies.,खरे कधी लपत नाही.,Truth can never be hidden.
गाढवाच्या पाठीवर साखरेची गोणी,mr,A sack of sugar on a donkey's back,एखाद्या गोष्टीची अनुकुलता असुन चालत नाही तर सोबतच चतचा फायदा क्षमता असावी,Giving something valuable to someone who cannot understand or make use of it.
गाढवास गुळाची चव काय,mr,What does a donkey know about the taste of jaggery?,ज्याला एखाद्या गोष्टीचा गंध नाही त्याला त्याचे महत्व चनरर्थक असते.,Something valuable has no meaning to a person who cannot understand its worth.
खायचे दात वेगळे व दाखवायचे दात वेगळे,mr,Their eating teeth are different from their showing teeth.,बोलताना एक बोलायचे आचण प्रत्यक्ष कृती वेगळीच करायची.,To say one thing but do something completely different.
खोट्याच्या कपाळी गोटा,mr,A false forehead,खोट्यापणाने वाईट काम करणाऱ्या माणसाचे शेवटी नुकसान होते.,A person who lies and does wrong will eventually face harm or disgrace.
कुत्र्याचे शेपूट वाकडे ते वाकडेच,mr,A dog's tail remains crooked.,मुखाथला दकती समजावले तरी व्यर्थच.,"A person’s bad nature does not change, no matter how much you try to correct them."
काकडीची चोरी फाशीची शिक्षा,mr,Stealing a cucumber is punishable by death.,अपराध लहान पण चशक्षा मोठी.,A small offence receiving a very severe punishment.
काठी मारल्याने पाणी दुभंगत नाही,mr,Water does not split apart when struck with a stick.,खरी मैत्री दकरकोळ कारणाने भंग होत नाही.,True friendship does not break because of small or trivial reasons.
मस्करीची होते तुस्करी,mr,Joking turns into mockery.,र्ट्टेचा पररणाम दकत्येकदा भयंकर वाईट होतो,Sometimes a joke turns into something serious and hurtful.
कावळ्याच्या शापाने गायी मरत नसतात,mr,Cows do not die from a crow's curse.,क्षुद्र माणसाच्या चनंदेने र्ोर माणसाचे काही नुकसान होत नाही.,A great person is not harmed by the curse or criticism of petty people.
एक हाताने टाळी वाजत नाही,mr,One hand cannot clap.,भांडणाचा दोष एक पक्षाकडेच असत नाही.,A conflict is never caused by only one side; both parties share the blame.
ऐकावे जनाचे करावे मनाचे,mr,"Listen to others, but do what your heart tells you.",सवाांचा चवचार घ्यावा व आपणास योग्य वाटेल ते करावे.,"Listen to others’ opinions, but do what you feel is right."
घरोघरी मातीच्या चुली,mr,Every house has a clay stove.,सवथत्र सारखी परीचस्र्ती असणे.,Every household faces similar situations or problems.
चोराच्या मनात चांदणे,mr,A thief's mind is full of moonlight.,गुन्हा करणाऱ्याला अपराधी वाटणे.,"A guilty person feels fear and suspicion inside, even without being accused."
थेंबे थेंबे तळे साचे,mr,Many drops make a pond.,छोट्या साठ्वचनतून मोठा संग्रह होतो.,Little drops make a big collection.
सरड्याची धाव कुंपणापर्यंत,mr,A lizard's run is only as far as the fence.,कमजोर माणसाचे काम मयाथददत असते,A weak person’s ability is limited.
बडा घर पोकळ वासा,mr,A big house with hollow beams.,नाव मोठे पण लक्षण खोटे.,"Big name, but no real quality or substance."
बुडत्याला काडीचा आधार,mr,A drowning man will clutch at a straw,संकटात दुसऱ्याचे र्ोडे साह्म सुध्दा महत्त्वाचे वाटते.,Even a very small help feels extremely valuable in times of trouble.
फुल ना फुलाची पाकळी,mr,Not even a flower petal,पूणथ मोबदल्याऐवजी र्ोडासा का होईना मोबदला देणे,"If not the full thing, at least something (a small compensation instead of a proper one)."
म्हातारीने कोंबडे झाकले तरी उजाडायचे राहत नाही,mr,"Even if the old woman covers the rooster, the dawn will still break.",जी गोष्ट व्हायचीच असेल व ती होऊ नये म्हणून प्रयत्न केले तरी ती झाल्याचशवाय राहत नाही.,"What is meant to happen will happen, no matter how hard you try to stop it."
कोल्हा काकडीला राजी,mr,The fox is happy with the cucumber.,क्षुद्र मनुष्य मामुली गोष्टीत खुश असतो.,A petty-minded person is satisfied with small or trivial gains.
वट राजाची वागणूक कैकाड्याची,mr,The king's behavior is like that of a rogue.,श्रीमंतीचा आव आणायचा पण दाररद्र्यासारखे राहायचे.,"Showing off like a king, but living like a poor person."
अचत शहाणा त्याचा बैल रिकामा,mr,A wise man's bull is never idle.,वाजवीपेक्षा जास्त शहाणपणा नुकसानकारक ठरतो.,Being over-smart or over-clever can be harmful and lead to loss.
उथळ पाण्याला खळखळाट फार,mr,Shallow waters make a lot of noise.,अंगात र्ोडीशी कुवत असुन देखील जास्त ददमाख दाखवणे.,People with little ability make the most noise (show off the most).
जशी देणावळ तशी धुणावळ,mr,The washing fee is proportional to the amount of laundry.,जसा पैसा द्याल तसे काम होईल.,You get the quality of work according to the money you pay.
दिव्याखाली अंधार,mr,Darkness under the lamp,मोठ्या माणसाच्या रठकाणीही उणीवा असतात.,Even great or powerful people have flaws.
पै दक्षिणा लक्ष प्रदक्षिणा,mr,"A penny for the offering, a lakh for the circumambulation.",र्ोड्या मोबदल्यात जास्त काम करून घेणे.,Getting a lot of work done for very little payment.
आधी पोटोबा मग चवठोबा,mr,"First food, then God.",स्वार्थ साधून घेऊन दुसऱ्याला मदत करणे.,"First satisfy your own needs, then think about helping others."
